
#KeplerID	Period	Rp/Rstar
002140360      27.00     0.03
002140389       3.00     0.04
002140424      27.00     0.03
002140446      81.00     0.03
002140491     243.00     0.03
002140493       9.00     0.03
002140538     243.00     0.01
002140552       9.00     0.02
002140561      81.00     0.03
002140601     243.00     0.03
002140621       9.00     0.03
002140642       3.00     0.03
002140644      81.00     0.04
002140651       3.00     0.04
002140686       9.00     0.04
002140780       3.00     0.03
002140782       3.00     0.01
002140807      81.00     0.04
002140841     243.00     0.01
002140862      81.00     0.01
002140897      27.00     0.02
002140909       9.00     0.04
002140937       3.00     0.03
002140955       3.00     0.04
002140982     243.00     0.03
002141003       9.00     0.01
002141150       3.00     0.03
002141152     243.00     0.03
002141175     243.00     0.02
002141179      27.00     0.01
002141193      81.00     0.01
002141255      27.00     0.04
002141318       3.00     0.02
002141339       3.00     0.03
002141385      27.00     0.04
002141387     243.00     0.04
002141401       3.00     0.04
002141413       9.00     0.04
002141436       3.00     0.04
002141466      81.00     0.04
002141544       9.00     0.03
002141652      27.00     0.01
002141655       3.00     0.02
002141658      27.00     0.01
002141692      81.00     0.04
002141697       3.00     0.04
002141736      81.00     0.04
002141746     243.00     0.04
002141753      81.00     0.03
002141781       9.00     0.03
002141783       3.00     0.04
#KeplerID	Period	 Rp/Rstar
002141787      81.00     0.02
002141812      81.00     0.04
002141852       9.00     0.04
002141865       3.00     0.01
002141927      81.00     0.02
002141928      81.00     0.01
002141932      81.00     0.03
002141938     243.00     0.04
002141950     243.00     0.04
002141959     243.00     0.03
002142026     243.00     0.04
002142052     243.00     0.03
002142070     243.00     0.03
002142074      27.00     0.04
002142080      27.00     0.03
002142091      81.00     0.02
002142095     243.00     0.03
002142111     243.00     0.02
002142183       9.00     0.04
002142186      81.00     0.04
002142191       9.00     0.04
002142244      81.00     0.03
002142272      27.00     0.03
002142279       9.00     0.04
002142280      27.00     0.03
002142372     243.00     0.04
002142405       9.00     0.04
002142433      81.00     0.01
002142451      81.00     0.02
002142490      27.00     0.04
002142501      27.00     0.02
002142508     243.00     0.04
002142522      27.00     0.04
002142575     243.00     0.04
002142628      81.00     0.01
002142633     243.00     0.01
002142657     243.00     0.03
002142663      27.00     0.01
002142669      27.00     0.02
002142675       3.00     0.01
002142730     243.00     0.04
002142733      27.00     0.01
002142778      81.00     0.02
002142913     243.00     0.02
002154965      27.00     0.04
002154980      81.00     0.04
002155012     243.00     0.02
002155064     243.00     0.03
002155080      81.00     0.01
002155148      81.00     0.04
002155156      81.00     0.04
002155220      81.00     0.03
002155278       3.00     0.04
002155343       9.00     0.02
002155467      27.00     0.03
002155506      81.00     0.04
002155869       9.00     0.04
002156061      27.00     0.01
002156069      81.00     0.01
002156072      81.00     0.01
002156074      27.00     0.01
002156089      81.00     0.03
002156121     243.00     0.01
002156123      27.00     0.01
002156155       9.00     0.03
002156178     243.00     0.02
002156245      27.00     0.04
002156343       3.00     0.03
002156404     243.00     0.02
002156425      81.00     0.04
002156435     243.00     0.02
002156488      81.00     0.04
002156490       9.00     0.03
002156514       9.00     0.02
002156529       9.00     0.04
002156537      81.00     0.01
002156545       9.00     0.01
002156550      27.00     0.01
002156581       9.00     0.03
002156669      81.00     0.02
002156685      81.00     0.01
002156693      27.00     0.04
002156718       3.00     0.02
002156720      27.00     0.01
002156733      81.00     0.03
002156757       9.00     0.02
002156782       3.00     0.01
002156807     243.00     0.01
002156809      81.00     0.02
002156839      81.00     0.04
002156848     243.00     0.04
002156879      81.00     0.04
002156906     243.00     0.04
002156933      81.00     0.01
002156939       3.00     0.04
002156965       9.00     0.01
002156988      27.00     0.04
002156992       9.00     0.02
002156998     243.00     0.04
002157008       3.00     0.03
002157024       3.00     0.02
002157059     243.00     0.02
002157135       9.00     0.04
002157184     243.00     0.03
002157192      27.00     0.04
002157208       9.00     0.03
002157213       9.00     0.03
002157247      27.00     0.02
002157290      81.00     0.03
002157305     243.00     0.03
002157356       3.00     0.04
002157418       3.00     0.04
002157428      81.00     0.01
002157489     243.00     0.04
002157495       9.00     0.04
002157508       3.00     0.04
002157519       9.00     0.04
002157524     243.00     0.01
002157526       3.00     0.03
002157600       9.00     0.04
002157602       3.00     0.03
002157630       9.00     0.01
002157650       3.00     0.03
002157676       3.00     0.04
002157725       3.00     0.03
002157759       9.00     0.01
002157776       3.00     0.02
002157788       9.00     0.02
002157841      27.00     0.03
002157901       9.00     0.03
002157905       9.00     0.03
002157928       9.00     0.01
002157948      81.00     0.02
002157949      27.00     0.04
002157953     243.00     0.02
002157964       9.00     0.04
002157979      81.00     0.03
002157986     243.00     0.02
002158027      81.00     0.03
002158047       3.00     0.01
002158059       9.00     0.02
002158067      81.00     0.02
002158076     243.00     0.03
002158190      27.00     0.01
002158208      81.00     0.04
002158221      27.00     0.03
002158237      27.00     0.04
002158238      81.00     0.03
002158278      81.00     0.03
002158336       9.00     0.01
002158352     243.00     0.04
002158410      81.00     0.01
002158433       9.00     0.01
002158460       9.00     0.03
002158534      81.00     0.02
002158543     243.00     0.03
002158548      27.00     0.03
002158566       3.00     0.03
002158641       3.00     0.04
002158750      81.00     0.04
002158770     243.00     0.01
002158781      81.00     0.04
002158815       9.00     0.01
002158850     243.00     0.01
002158868       3.00     0.04
002158882      81.00     0.02
002158923       9.00     0.01
002159018       3.00     0.03
002159033     243.00     0.03
002159073     243.00     0.04
